symbol,bid,bid_qty,ask,ask_qty,last,volume,vwap,low,high,change,change_pct,timestamp
BTC/USD,72108.2,0.09698426,72108.3,4.29227164,72108.2,1334.16165826,71204.8,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.381227Z
BTC/USD,72108.2,0.0387059,72108.3,4.29227164,72108.2,1334.21993662,71204.8,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.401299Z
BTC/USD,72078.8,0.00012,72095.1,3.85435331,72093.6,1334.26108052,71204.9,70517.7,72244.2,1353.7,1.91,2026-04-13T14:55:27.657627Z
BTC/USD,72079.1,0.00036235,72079.2,2.54986073,72079.1,1334.26171818,71204.9,70517.7,72244.2,1339.2,1.89,2026-04-13T14:55:29.549021Z
BTC/USD,72074.0,0.00119565,72079.2,2.52211347,72074.0,1334.26244288,71204.9,70517.7,72244.2,1334.1,1.89,2026-04-13T14:55:29.640142Z
BTC/USD,72108.2,0.25433557,72108.3,2.23292067,72108.2,1333.90562695,71204.6,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.328168Z
BTC/USD,72108.2,0.1359096,72108.3,2.13524067,72108.2,1334.02405292,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.337890Z
BTC/USD,72108.2,0.22202368,72108.3,2.77759377,72108.2,1334.03561884,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.348775Z
BTC/USD,72108.2,0.21476232,72108.3,2.10968871,72108.2,1334.0438802,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.357731Z
BTC/USD,72108.2,0.20484867,72108.3,2.80390777,72108.2,1334.05379385,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.368341Z
BTC/USD,72108.2,0.1965873,72108.3,4.29227164,72108.2,1334.06205522,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.380688Z
BTC/USD,72108.2,0.07196836,72108.3,4.29227164,72108.2,1334.18667416,71204.8,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.395276Z
BTC/USD,72108.0,5.1e-05,72108.3,4.29227164,72108.2,1334.25864252,71204.9,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.401945Z
BTC/USD,72079.1,0.00068118,72079.2,2.54986073,72079.1,1334.26139935,71204.9,70517.7,72244.2,1339.2,1.89,2026-04-13T14:55:29.548897Z
BTC/USD,72078.8,0.00012,72079.2,2.52211347,72079.1,1334.26208053,71204.9,70517.7,72244.2,1339.2,1.89,2026-04-13T14:55:29.640042Z
BTC/USD,72074.0,0.00179588,72074.1,1.47696609,72074.0,1334.26284269,71204.9,70517.7,72244.2,1334.1,1.89,2026-04-13T14:55:29.672988Z
BTC/USD,72074.0,0.00179588,72074.1,4.5148467,72074.1,1334.16429105,71204.9,70517.7,72244.2,1323.0,1.87,2026-04-13T14:55:31.611577Z
BTC/USD,72074.0,0.00179588,72074.1,3.99517167,72074.1,1335.66263897,71205.9,70517.7,72244.2,1323.0,1.87,2026-04-13T14:55:33.498657Z
BTC/USD,72074.0,0.00179588,72074.1,3.08960901,72074.1,1335.58952874,71205.8,70517.7,72244.2,1323.0,1.87,2026-04-13T14:55:31.712626Z
BTC/USD,72072.0,5.1e-05,72074.1,3.91083222,72074.0,1335.55312858,71205.9,70517.7,72244.2,1322.8,1.87,2026-04-13T14:55:33.621549Z
BTC/USD,72064.8,0.0009725,72064.9,3.13299862,72064.8,1335.5495311,71205.9,70517.7,72244.2,1307.6,1.85,2026-04-13T14:55:36.923465Z
BTC/USD,72064.8,0.0986525,72064.9,1.96523137,72064.9,1335.54040399,71205.9,70517.7,72244.2,1292.7,1.83,2026-04-13T14:55:40.772814Z
BTC/USD,72064.8,0.00058138,72064.9,4.34060691,72064.8,1335.54079511,71205.9,70517.7,72244.2,1292.6,1.83,2026-04-13T14:55:42.101317Z
BTC/USD,72064.8,0.0008725,72064.9,4.36835967,72064.8,1335.54050399,71205.9,70517.7,72244.2,1292.6,1.83,2026-04-13T14:55:41.660481Z
BTC/USD,72064.8,0.49480598,72067.6,1.73399347,72064.9,1335.57701265,71205.9,70517.7,72244.2,1292.7,1.83,2026-04-13T14:55:47.786720Z
BTC/USD,72064.8,0.49140598,72067.6,1.20307017,72067.6,1336.11193595,71206.3,70517.7,72244.2,1295.4,1.83,2026-04-13T14:55:47.821514Z
BTC/USD,72067.5,0.0034,72067.6,0.79391788,72067.6,1336.52108824,71206.5,70517.7,72244.2,1295.4,1.83,2026-04-13T14:55:47.844458Z
BTC/USD,72067.5,6.35213217,72067.6,0.00197979,72067.6,1336.45706809,71206.6,70517.7,72244.2,1295.4,1.83,2026-04-13T14:55:49.167430Z
BTC/USD,72064.8,0.49140598,72067.6,1.73399347,72064.9,1335.58101265,71205.9,70517.7,72244.2,1292.7,1.83,2026-04-13T14:55:47.817031Z
BTC/USD,72064.8,0.49140598,72067.6,0.83960242,72067.6,1336.4754037,71206.5,70517.7,72244.2,1295.4,1.83,2026-04-13T14:55:47.821686Z
BTC/USD,72067.5,0.0034,72067.6,0.78730904,72067.6,1336.52769708,71206.6,70517.7,72244.2,1295.4,1.83,2026-04-13T14:55:47.847581Z
BTC/USD,72067.5,7.92769383,72079.9,0.0092457,72079.1,1336.4764841,71206.6,70517.7,72244.2,1306.9,1.85,2026-04-13T14:55:50.441881Z
BTC/USD,72079.8,4.16002847,72079.9,0.0112457,72079.8,1336.47577337,71206.6,70517.7,72244.2,1307.6,1.85,2026-04-13T14:55:53.621308Z
BTC/USD,72079.8,5.60704559,72079.9,0.00985835,72079.9,1336.4750828,71206.6,70517.7,72244.2,1307.7,1.85,2026-04-13T14:55:56.369760Z
BTC/USD,72079.8,7.72293516,72082.7,5.1e-05,72079.9,1336.48494115,71206.6,70517.7,72244.2,1307.7,1.85,2026-04-13T14:55:58.128478Z
BTC/USD,72084.8,6.63237855,72084.9,0.01830647,72084.8,1336.48567043,71206.6,70517.7,72244.2,1312.7,1.85,2026-04-13T14:55:58.978219Z
BTC/USD,72084.8,5.48636502,72084.9,0.01691602,72084.9,1336.48706088,71206.6,70517.7,72244.2,1312.8,1.85,2026-04-13T14:55:59.805729Z
BTC/USD,72079.8,5.54687966,72079.9,0.00889186,72079.9,1336.47604929,71206.6,70517.7,72244.2,1307.7,1.85,2026-04-13T14:55:57.188039Z
BTC/USD,72084.8,5.83309297,72084.9,0.01830647,72084.8,1336.48500248,71206.6,70517.7,72244.2,1312.7,1.85,2026-04-13T14:55:58.618169Z
BTC/USD,72084.8,6.63237855,72084.9,0.0169427,72084.9,1336.4870342,71206.6,70517.7,72244.2,1312.8,1.85,2026-04-13T14:55:58.978534Z
BTC/USD,72084.8,5.48636502,72084.9,0.01750689,72084.9,1336.48747001,71206.6,70517.7,72244.2,1312.8,1.85,2026-04-13T14:56:00.033455Z
BTC/USD,72084.8,4.38621093,72084.9,0.01451526,72084.9,1335.70007459,71206.9,70517.7,72244.2,1312.7,1.85,2026-04-13T14:56:12.732007Z
BTC/USD,72084.8,5.43225527,72084.9,0.01154296,72084.9,1335.70304689,71206.9,70517.7,72244.2,1312.7,1.85,2026-04-13T14:56:13.403589Z
BTC/USD,72084.8,3.56767537,72084.9,0.01412471,72084.9,1335.70046514,71206.9,70517.7,72244.2,1312.7,1.85,2026-04-13T14:56:13.204632Z
BTC/USD,72084.8,0.2393843,72084.9,0.88562624,72084.8,1335.69331309,71206.9,70517.7,72244.2,1312.7,1.85,2026-04-13T14:56:21.447117Z
BTC/USD,72075.6,5.1e-05,72084.9,3.61965637,72079.2,1335.68943389,71206.9,70517.7,72244.2,1307.0,1.85,2026-04-13T14:56:24.479085Z
BTC/USD,72084.8,0.0003683,72084.9,3.61965637,72084.9,1335.68896359,71206.9,70517.7,72244.2,1312.7,1.85,2026-04-13T14:56:24.457611Z
BTC/USD,72074.0,5.53371349,72074.1,0.00188906,72074.1,1335.68982232,71206.9,70517.7,72244.2,1301.9,1.84,2026-04-13T14:56:27.305926Z
BTC/USD,72074.0,5.38071349,72074.1,0.00064632,72074.1,1335.68739699,71206.9,70517.7,72244.2,1299.7,1.84,2026-04-13T14:56:28.223365Z
BTC/USD,72074.0,6.79042999,72074.1,0.00109368,72074.1,1335.68753052,71206.9,70517.7,72244.2,1299.6,1.84,2026-04-13T14:56:34.272595Z
BTC/USD,72074.0,6.8014057,72074.1,0.00109368,72074.0,1335.68755481,71206.9,70517.7,72244.2,1299.5,1.84,2026-04-13T14:56:34.972303Z
BTC/USD,72089.8,1.35355386,72089.9,0.01845495,72089.9,1335.75753319,71206.9,70517.7,72244.2,1315.4,1.86,2026-04-13T14:56:36.330471Z
BTC/USD,72089.8,1.58516986,72090.5,0.67562341,72090.5,1335.81818734,71207.0,70517.7,72244.2,1316.0,1.86,2026-04-13T14:56:37.427736Z
BTC/USD,72074.0,6.6484057,72089.7,0.66236578,72089.7,1335.75691556,71206.9,70517.7,72244.2,1315.2,1.86,2026-04-13T14:56:36.227743Z
BTC/USD,72089.8,1.35355386,72089.9,0.01806647,72089.9,1335.75792167,71206.9,70517.7,72244.2,1315.4,1.86,2026-04-13T14:56:36.412010Z
BTC/USD,72090.4,3.99857702,72090.5,0.00142686,72090.4,1335.83339947,71207.0,70517.7,72244.2,1316.0,1.86,2026-04-13T14:56:50.007897Z
BTC/USD,72090.4,3.29377108,72097.9,0.69285095,72097.9,1335.84862254,71207.0,70517.7,72244.2,1323.4,1.87,2026-04-13T14:56:54.094123Z
BTC/USD,72090.4,3.76344135,72090.5,0.00142686,72090.4,1335.8340495,71207.0,70517.7,72244.2,1315.9,1.86,2026-04-13T14:56:52.257183Z
BTC/USD,72097.8,3.99623182,72097.9,0.00057472,72097.8,1335.85742633,71207.0,70517.7,72244.2,1323.3,1.87,2026-04-13T14:56:55.176222Z
BTC/USD,72097.8,4.90086344,72097.9,0.00103074,72097.9,1335.85755474,71207.0,70517.7,72244.2,1323.4,1.87,2026-04-13T14:56:59.961575Z
BTC/USD,72097.8,4.90086344,72099.8,0.02021001,72099.8,1335.87932997,71207.0,70517.7,72244.2,1325.3,1.87,2026-04-13T14:57:00.132606Z
BTC/USD,72119.8,5.00779564,72129.3,0.08650181,72129.3,1336.00938074,71207.1,70517.7,72244.2,1344.3,1.9,2026-04-13T14:57:02.074221Z
BTC/USD,72129.2,0.91181358,72129.3,0.78080379,72129.2,1336.01788759,71207.1,70517.7,72244.2,1344.2,1.9,2026-04-13T14:57:02.247950Z
BTC/USD,72099.8,7.11368216,72119.9,0.00965795,72112.2,1335.98309447,71207.1,70517.7,72244.2,1327.2,1.87,2026-04-13T14:57:01.787281Z
BTC/USD,72129.2,0.10238341,72129.3,0.08650181,72129.2,1336.01609733,71207.1,70517.7,72244.2,1344.2,1.9,2026-04-13T14:57:02.077637Z
BTC/USD,72129.2,3.11735803,72137.9,0.31323083,72137.9,1336.351784,71209.1,70517.7,72244.2,1315.2,1.86,2026-04-13T14:57:06.549415Z
BTC/USD,72132.9,0.09298755,72133.0,0.26548732,72132.9,1336.62574309,71209.3,70517.7,72244.2,1310.1,1.85,2026-04-13T14:57:11.122634Z
BTC/USD,72137.9,7.34447906,72139.9,0.00704501,72139.9,1336.62938476,71209.3,70517.7,72244.2,1317.1,1.86,2026-04-13T14:57:13.171045Z
